countrynum,statenum,route,routename,active,latitude,longitude,stratum,bcr,landtypeid,routetypeid,routetypedetailid
840,2,206,JASPER,0,33.817,-87.138,13,28,0,1,1
840,2,207,ONEONTA,1,33.856,-86.381,13,28,0,1,1
840,2,208,TALLADEGA,1,33.318,-86.157,13,28,0,1,1
840,2,209,WEDOWEE,1,33.184,-85.465,11,29,0,1,1
840,2,210,GASTONBURG,1,32.193,-87.379,4,27,0,1,1
840,2,211,AUTAUGAVILLE,1,32.486,-86.570,4,27,0,1,1
840,2,212,SEALE,1,32.503,-85.253,4,27,0,1,1
840,2,213,CITRONELLE,1,31.137,-88.221,4,27,0,1,1
840,2,214,CLAIBORNE,1,31.746,-87.636,4,27,0,1,1
840,2,215,HELICON,1,31.905,-86.185,4,27,0,1,1
840,2,216,EUFAULA,1,31.730,-85.256,4,27,0,1,1
840,2,217,ST. ELMO,1,30.487,-88.385,3,27,0,1,1
840,2,218,BAY MINETTE,1,30.803,-87.637,3,27,0,1,1
840,2,306,DRUMMOND,1,33.816,-87.142,13,28,0,1,1
840,2,750,TRIANA,0,34.476,-86.468,14,24,0,2,3
840,2,751,RIVERSIDE,0,33.592,-86.204,13,28,0,2,3
840,2,752,SPROTT-CAHABA RIV,0,32.668,-87.242,4,27,0,2,3
840,2,753,GAINESTOWN FERRY,0,31.377,-87.723,4,27,0,2,3
840,2,754,Chacaloochee Bay,1,30.688,-87.969,4,27,0,2,3
840,2,900,ELKMONT,0,34.950,-87.150,14,24,0,1,3
840,2,901,TRACE CHEROKEE,1,34.664,-88.090,4,27,0,1,3
840,3,1,EAGLE,1,64.553,-141.279,25,4,0,1,1
840,3,2,CIRCLE,1,65.791,-144.089,25,4,0,1,1
840,3,3,CHATANIKA R,1,65.270,-146.728,25,4,0,1,1
840,3,4,BIRCH LAKE,1,64.256,-146.077,25,4,0,1,1
840,3,5,LIVENGOOD,1,65.563,-148.418,25,4,0,1,1
840,3,6,NEBESNA,0,62.513,-143.173,68,4,0,1,1
840,3,7,SLANA,1,62.725,-143.889,68,4,0,1,1
840,3,8,TOWER BLUFFS,1,63.615,-143.986,25,4,0,1,1
840,3,9,CHISTOCHINA,1,62.480,-144.829,68,4,0,1,1
840,3,10,NORTHWAY,1,63.013,-141.805,25,4,0,1,1
840,3,11,MACLAREN,1,63.053,-146.061,68,4,0,1,1
840,3,12,MONAHAN,1,63.277,-147.944,68,4,0,1,1
840,3,13,CANTWELL,1,63.379,-148.860,68,4,0,1,1
840,3,15,TOKLAT,1,63.515,-150.048,68,4,0,1,1
840,3,16,SEWARD,0,60.128,-149.434,96,5,0,1,1
840,3,17,GOOSE BAY,0,61.400,-149.843,96,4,0,1,1
840,3,18,SKILAK LAKE,0,60.459,-150.275,96,4,0,1,1
840,3,19,HOMER,0,59.567,-151.333,96,4,0,1,1
840,3,20,JUNEAU ALT,0,58.251,-134.628,94,5,0,1,1
840,3,21,JUNEAU,1,58.442,-134.766,94,5,0,1,1
840,3,23,CRAIG,1,55.556,-133.085,94,5,0,1,1
840,3,24,KETCHIKAN,1,55.327,-131.521,94,5,0,1,1
840,3,25,HAINES,1,59.336,-135.568,94,5,0,1,1
840,3,26,BEAVER CREEK,0,55.633,-132.750,94,5,0,1,1
840,3,28,KALIFONSKY,1,60.296,-151.276,96,4,0,1,1
840,3,29,MATANUSKA,0,61.733,-148.752,96,4,0,1,1
840,3,30,WILLOW,1,61.659,-150.140,96,4,0,1,1
840,3,31,KODIAK,0,57.817,-152.623,96,2,0,1,1
840,3,40,CHENA RIVER,0,64.946,-146.251,25,4,0,1,1
840,3,41,L SALCHA,1,64.546,-146.995,25,4,0,1,1
840,3,42,CHENA HOT SP,0,64.892,-147.541,25,4,0,1,1
840,3,50,CORDOVA,1,60.497,-145.870,96,5,0,1,1
840,3,51,THOMPSON PAS,1,61.059,-145.917,68,5,0,1,1
840,3,52,KENNY LAKE,1,61.734,-144.958,68,4,0,1,1
840,3,53,SHEEP MTN,1,61.937,-147.176,68,5,0,1,1
840,3,54,SOURDOUGH,1,62.362,-145.373,68,4,0,1,1
840,3,55,TONSINA,1,61.661,-145.183,68,4,0,1,1
840,3,60,KATMAI N.P.,1,58.547,-155.791,25,2,0,1,1
840,3,84,BEAR CREEK,0,64.500,-157.000,25,4,0,1,1
840,3,90,ADAK,1,51.827,-176.636,99,1,0,1,1
840,3,101,CHICKEN,1,64.167,-141.411,25,4,0,1,1
840,3,112,GLENALLEN,0,62.029,-145.399,68,4,0,1,1
840,3,113,CHULITNA,0,62.746,-150.122,68,4,0,1,1
840,3,115,SAVAGE,1,63.738,-149.291,68,4,0,1,1
840,3,116,MOOSE PASS,0,60.502,-149.371,96,5,0,1,1
840,3,117,HATCHER PASS,1,61.587,-149.428,96,4,0,1,1
840,3,118,SWAN LAKE RD,1,60.596,-150.787,96,4,0,1,1
840,3,119,ANCHOR RIVER,1,59.797,-151.796,96,4,0,1,1
840,3,121,PETERSBURG,0,56.808,-132.913,94,5,0,1,1
840,3,122,SITKA,1,57.017,-135.155,94,5,0,1,1
840,3,123,THORNE BAY,0,55.688,-132.626,94,5,0,1,1
840,3,124,ZIMOVIA STRT,0,56.470,-132.375,94,5,0,1,1
840,3,125,YAKUTAT,1,59.444,-139.565,94,5,0,1,1
840,3,131,CHINIAK,1,57.533,-152.450,96,2,0,1,1
840,3,142,CHENA HOT SPRING 2,1,65.054,-146.060,25,4,0,1,1
840,3,180,DILLINGHAM,1,59.035,-158.527,25,2,0,1,1
840,3,191,COLD BAY,1,55.269,-162.898,99,2,0,1,1
840,3,192,KING SALMON,1,58.670,-156.459,25,2,0,1,1
840,3,212,LAKE LOUISE,1,62.232,-146.516,68,4,0,1,1
840,3,213,SU BRIDGE,0,62.397,-150.263,68,4,0,1,1
840,3,216,HOPE,1,60.780,-149.553,96,5,0,1,1
840,3,217,WASILLA,0,61.631,-149.830,96,4,0,1,1
840,3,218,COHOE,1,60.367,-151.372,96,4,0,1,1
840,3,219,SELDOVIA,0,59.447,-151.486,96,4,0,1,1
840,3,221,MITKOF ISLE,1,56.740,-132.766,94,5,0,1,1
840,3,223,THORNE BAY 2,1,55.844,-132.543,94,5,0,1,1
840,3,224,ZIMOVIA STRT,1,56.460,-132.380,94,5,0,1,1
840,3,231,Kodiak 2,1,57.813,-152.618,96,2,0,1,1
840,3,284,NICHOLAI SL,1,64.771,-157.029,25,4,0,2,1
840,3,313,PETERSVILLE,1,62.317,-150.237,68,4,0,1,1
840,3,318,SEVEN LAKES,1,60.526,-150.566,96,4,0,1,1
840,3,319,KACHEMAK,1,59.646,-151.561,96,4,0,1,1
840,3,321,HARLEQUIN L.,1,59.418,-139.022,94,5,0,1,1
840,3,372,DIETRICH CMP,1,67.670,-149.715,99,3,0,1,1
840,3,401,BURMA ROAD,1,61.400,-149.842,96,4,0,1,1
840,3,402,CAPE NOME,1,64.488,-165.312,99,2,0,1,1
840,3,403,CARIBOU MTN.,1,66.442,-150.632,99,4,0,1,1
840,3,404,COLDFOOT,1,67.017,-150.290,99,4,0,1,1
840,3,405,COUNCIL,1,64.545,-164.437,99,2,0,1,1
840,3,406,DONELLY DOME,1,64.016,-145.728,25,4,0,1,1
840,3,407,UNALAKLEET RIVER,1,64.015,-159.809,25,4,0,2,1
840,3,408,GALBRAITH L.,1,68.427,-149.347,99,3,0,1,1
840,3,409,HAPPY VALLEY,1,68.857,-148.835,99,3,0,1,1
840,3,410,HATHER CREEK,1,63.596,-158.078,25,4,0,2,1
840,3,411,HOONAH,1,57.922,-135.046,94,5,0,1,1
840,3,412,WHALE PASS,1,56.208,-133.078,94,5,0,1,1
840,3,413,TANGLE LAKES,0,63.046,-146.032,68,4,0,1,1
840,3,414,KANUTI CANYN,1,66.334,-152.950,25,4,11,2,1
840,3,415,MCGRATH,1,62.951,-155.589,25,4,0,1,1
840,3,416,KOYUKUK RIV.,1,66.580,-151.942,25,4,0,2,1
840,3,417,COTTONWOOD,0,61.564,-149.350,96,4,0,1,1
840,3,418,MANLEY HT SP,1,65.008,-150.613,25,4,0,1,1
840,3,419,MOOSE CREEK,1,65.488,-148.655,25,4,0,1,1
840,3,420,MT. FAIRPLAY,1,63.609,-142.324,25,4,0,1,1
840,3,421,MUD RIVER,1,63.583,-157.844,25,4,0,2,1
840,3,422,NOME,1,64.778,-165.999,99,2,0,1,1
840,3,423,RUBY,1,64.461,-155.524,25,4,0,1,1
840,3,424,SALMON LAKE,1,64.616,-165.302,99,2,0,1,1
840,3,425,SKAGWAY,1,59.529,-135.351,94,5,0,1,1
840,3,426,ST. MARY'S,1,62.053,-163.169,99,2,0,1,1
840,3,427,TELLER,1,64.831,-166.088,99,2,0,1,1
840,3,428,MURPHY DOME,1,64.912,-147.942,25,4,0,1,1
840,3,429,ZAREMBO,1,56.350,-132.767,94,5,0,1,1
840,3,430,PORCUPINE R.,1,66.692,-144.731,25,4,0,2,1
840,3,431,DELTA,1,63.856,-145.738,25,4,0,1,1
840,3,432,FT. RICHRDSN,1,61.296,-149.779,96,4,0,1,1
840,3,433,ANVIK RIVER,1,62.921,-160.692,25,4,0,2,1
840,3,434,TOGIAK RIVER,1,59.532,-159.694,99,2,0,2,1
840,3,435,CHICHAGOF IS,1,57.838,-135.060,94,5,0,1,1
840,3,436,GWEEK RIVER,1,60.873,-161.603,99,2,0,2,1
840,3,437,TUPUKNUK,1,60.695,-161.610,99,2,0,2,1
840,3,438,RED DOG,1,67.854,-163.303,99,3,0,1,1
840,3,439,HYDER,1,55.916,-130.016,94,5,0,1,1
840,3,440,TATALINA,1,62.912,-155.619,25,4,0,1,1
840,3,442,KANEKTOK RIV,1,59.856,-160.682,99,2,0,2,1
840,3,444,KOTZEBUE,1,66.902,-162.564,99,2,0,1,1
840,3,445,Kanuti Lake,1,66.237,-152.118,25,4,11,2,1
840,3,760,GOODNEWS BAY,1,59.327,-161.029,25,2,0,2,1
840,3,811,KOBUK RIVER (Short),0,67.103,-158.275,25,4,0,2,6
840,3,812,PINOCHE TRAL (Short),0,61.917,-147.667,68,4,0,1,6
840,3,816,KENAI LAKE (Short),0,60.386,-149.688,96,5,0,1,6
840,3,817,ELMENDORF (Short),0,61.000,-149.000,96,5,0,1,6
840,3,821,HARLEQUIN L (Short),0,59.419,-139.026,94,5,0,1,6
840,3,822,SITKA (Short),0,57.127,-135.348,94,5,0,1,6
840,3,824,WRANGELL (Short),0,56.000,-132.000,94,5,0,1,6
840,3,825,YAKUTAT (Short),0,59.000,-139.000,94,5,0,1,6
840,3,832,ALPENGLOW (Short),0,61.256,-149.544,96,5,0,1,6
840,3,850,COPPER RIVER,0,60.465,-145.348,96,5,0,1,1
840,3,851,VALDEZ (Short),0,61.126,-146.359,96,5,0,1,6
840,3,880,DILLINGHAM (Short),0,59.273,-158.621,25,2,0,1,6
840,3,881,KUGARAK (Short),0,66.599,-159.126,25,2,0,1,6
840,3,882,SELAWIK (Short),0,66.555,-159.029,25,2,0,1,6
840,3,883,GALENA (Short),1,64.740,-156.966,25,4,0,1,6
840,3,884,KOTZEBUE (Short),0,66.891,-162.554,99,2,0,1,6
840,3,891,COLD BAY (Short),0,55.169,-162.742,99,2,0,1,6
840,3,892,KING SALMON (Short),0,58.671,-156.459,99,2,0,1,6
840,3,901,PAXSON LAKE,1,63.029,-145.497,68,4,0,1,3
840,3,902,NABESNA ROAD,1,62.442,-143.071,68,4,0,1,3
840,3,903,KUSKULANA,1,61.526,-144.407,68,4,0,1,3
840,3,905,MCCARTHY RD2,1,61.434,-142.945,68,4,0,1,3
840,3,906,STIKINE RIVER,1,56.647,-131.857,94,5,0,2,3
840,3,907,KUIU ISLAND,1,56.708,-134.242,94,5,0,1,3
124,4,1,SEVEN PERSON,0,49.932,-110.845,38,11,0,1,1
124,4,2,BOW ISLAND,1,49.873,-111.410,38,11,0,1,1
124,4,3,MILK RIVER,1,49.090,-112.397,65,11,0,1,1
124,4,4,FORT MACLEOD,1,49.815,-113.570,38,11,0,1,1
124,4,5,SENTINEL,0,49.633,-114.587,64,10,0,1,1
124,4,6,BINDLOSS,1,50.747,-110.259,38,11,0,1,1
124,4,7,BROOKS,0,50.564,-111.849,38,11,0,1,1
124,4,8,BOW CITY,0,50.303,-112.020,38,11,0,1,1
124,4,9,BUFFALO HILL,1,50.601,-113.029,38,11,0,1,1
124,4,10,HIGHWOOD RIV,1,50.481,-114.425,30,10,0,1,1
124,4,11,CEREAL,1,51.009,-110.796,37,11,0,1,1
124,4,12,BIG STONE,0,51.329,-111.078,37,11,0,1,1
124,4,13,ROWLEY,1,51.778,-112.647,37,11,0,1,1
124,4,14,KEOMA,0,51.213,-113.772,30,11,0,1,1
124,4,15,EAGLE HILL,1,51.831,-114.450,30,6,0,1,1
124,4,16,EXSHAW,0,51.095,-115.091,64,10,0,1,1
124,4,17,BOW PASS,1,51.460,-116.220,64,10,0,1,1
124,4,18,CZAR,1,52.463,-110.651,30,11,0,1,1
124,4,19,TALBOT,1,52.201,-111.076,37,11,0,1,1
124,4,20,HALKIRK,1,52.172,-112.339,37,11,0,1,1
124,4,21,DELBURNE,0,52.201,-113.228,30,11,0,1,1
124,4,22,RAVEN,1,52.028,-114.478,30,6,0,1,1
124,4,23,HARLECH,0,52.498,-116.000,29,6,0,1,1
124,4,24,WINDY POINT,1,52.259,-116.392,29,10,0,1,1
124,4,25,MALIGNE LAKE,1,52.731,-117.637,64,10,0,1,1
124,4,26,DERWENT,1,53.497,-110.866,30,11,0,1,1
124,4,27,TWO HILLS,1,53.716,-111.526,30,11,0,1,1
124,4,28,LINDBROOK,1,53.338,-112.782,30,11,0,1,1
124,4,29,CALAHOO,1,53.687,-113.885,30,11,0,1,1
124,4,30,WARBURG,1,53.164,-114.220,30,6,0,1,1
124,4,31,RONAN,1,53.803,-115.266,29,6,0,1,1
124,4,32,EDSON,1,53.599,-116.404,29,6,0,1,1
124,4,33,ENTRANCE,1,53.374,-117.711,29,6,0,1,1
124,4,34,HOFF,1,53.813,-118.483,29,10,0,1,1
124,4,36,KEHIWIN LAKE,1,54.058,-110.886,30,6,0,1,1
124,4,37,THERIEN,1,54.268,-111.278,30,6,0,1,1
124,4,38,KINIKINIK,1,54.500,-112.980,29,6,0,1,1
124,4,39,ATHABASCA,1,54.835,-113.158,29,6,0,1,1
124,4,40,THUNDER LAKE,1,54.120,-114.715,29,6,0,1,1
124,4,41,SWAN HILLS,0,54.760,-115.538,29,6,0,1,1
124,4,42,WINDFALL,1,54.133,-116.216,30,6,0,1,1
124,4,43,LITTLE SMOKY,1,54.766,-117.248,30,6,0,1,1
124,4,44,ECONOMY CRK,1,54.750,-118.226,30,6,0,1,1
124,4,45,WAPITI,0,54.938,-119.196,30,6,0,1,1
124,4,46,WINEFRED LAKE,1,55.554,-110.907,29,6,0,1,1
124,4,47,HEART LAKE,1,55.006,-111.732,29,6,0,1,1
124,4,48,WANDERING R,0,55.387,-112.454,29,6,0,1,1
124,4,49,CALLING LAKE,1,55.486,-113.440,29,6,0,1,1
124,4,50,MARTEN RIVER,1,55.499,-114.914,29,6,0,1,1
124,4,51,KINUSO,0,55.258,-115.385,29,6,0,1,1
124,4,52,HIGH PRAIRIE,0,55.553,-116.782,29,6,0,1,1
124,4,53,WATINO,1,55.781,-117.826,29,6,0,1,1
124,4,54,RYCROFT,1,55.840,-118.457,29,6,0,1,1
124,4,55,WEMBLEY,1,55.142,-119.218,30,6,0,1,1
124,4,57,HANGINGSTONE,0,56.233,-111.672,29,6,0,1,1
124,4,61,LOON RIVER,1,56.284,-115.364,29,6,0,1,1
124,4,62,THREE CREEKS,1,56.363,-117.003,29,6,0,1,1
124,4,63,CARDINAL LK,1,56.276,-117.821,29,6,0,1,1
124,4,64,HINES CREEK,1,56.508,-118.739,29,6,0,1,1
124,4,65,BEAR CANYON,1,56.195,-119.820,29,6,0,1,1
124,4,73,HOTCHKISS,1,57.068,-117.611,29,6,0,1,1
124,4,77,FORT SMITH,1,59.989,-111.838,25,6,0,1,1
124,4,78,PEACE POINT,1,59.311,-112.487,29,6,0,1,1
124,4,79,HAY CAMP,1,59.862,-111.615,25,6,0,1,1
124,4,81,RED ROCK COULEE,1,49.878,-110.889,38,11,0,1,1
124,4,96,KANANASKIS,1,50.985,-115.075,64,10,0,1,1
124,4,101,MANYBERRIES,1,49.261,-110.691,38,11,0,1,1
124,4,102,SHERBOURNE L,1,49.582,-111.698,38,11,0,1,1
124,4,103,HORSEFLY LK.,1,49.611,-112.150,38,11,0,1,1
124,4,104,GRANUM,1,49.902,-113.099,38,11,0,1,1
124,4,105,WATERTON PRK,1,49.020,-114.045,65,10,0,1,1
124,4,106,SCHULER,1,50.004,-110.073,38,11,0,1,1
124,4,107,WARDLOW,1,50.921,-111.113,38,11,0,1,1
124,4,108,RANIER,0,50.303,-112.020,38,11,0,1,1
124,4,109,MAZEPPA,1,50.426,-113.827,37,11,0,1,1
124,4,110,OKOTOKS,0,50.543,-114.093,37,11,0,1,1
124,4,111,ESTHER,1,51.445,-110.380,37,11,0,1,1
124,4,112,HEMARUKA,1,51.576,-111.201,37,11,0,1,1
124,4,113,DOWLING LAKE,1,51.954,-112.131,37,11,0,1,1
124,4,114,SHEEP COULEE,1,51.561,-113.896,30,11,0,1,1
124,4,115,DIDSBURY,1,51.548,-114.213,30,11,0,1,1
124,4,116,WIGWAM CREEK,1,51.662,-115.407,29,6,0,1,1
124,4,118,MILLARD LAKE,1,52.931,-110.584,30,11,0,1,1
124,4,119,KILLAM,1,52.901,-111.890,30,11,0,1,1
124,4,120,HEISLER,1,52.638,-111.996,30,11,0,1,1
124,4,121,BATTLE RIVER,1,52.611,-113.987,30,11,0,1,1
124,4,122,BENALTO,1,52.581,-114.410,30,6,0,1,1
124,4,123,CRIPPLE CRK,1,52.209,-115.968,64,6,0,1,1
124,4,125,SUNWAPTA FLS,1,52.488,-117.518,64,10,0,1,1
124,4,126,VANESTI,1,53.290,-110.542,30,11,0,1,1
124,4,127,VIKING,1,53.103,-111.760,30,11,0,1,1
124,4,128,BRUCE,1,53.105,-112.148,30,11,0,1,1
124,4,129,HAY LAKES,0,53.120,-113.123,30,11,0,1,1
124,4,130,TOMAHAWK,0,53.541,-114.787,30,6,0,1,1
124,4,131,MACKAY,1,53.774,-115.612,29,6,0,1,1
124,4,136,BEAVERDAM,1,54.181,-110.305,29,6,0,1,1
124,4,137,LAC LA BICHE,1,54.757,-111.972,29,6,0,1,1
124,4,138,LONG LAKE,1,54.434,-112.829,30,6,0,1,1
124,4,139,PICKARDVILLE,1,54.051,-113.916,30,11,0,1,1
124,4,141,FREEMAN LAKE,1,54.742,-115.783,29,6,0,1,1
124,4,143,FOX CREEK,1,54.363,-117.037,30,6,0,1,1
124,4,147,CONKLIN,1,55.669,-111.107,29,6,0,1,1
124,4,149,SANDY LAKE,1,55.904,-113.699,29,6,0,1,1
124,4,152,WINAGAMI LK,1,55.600,-116.614,29,6,0,1,1
124,4,153,VALLEYVIEW,1,55.083,-117.357,30,6,0,1,1
124,4,154,HEART VALLEY,1,55.695,-118.389,30,6,0,1,1
124,4,155,HYTHE,1,55.316,-119.666,30,6,0,1,1
124,4,157,WILLOW LAKE,1,56.165,-110.856,29,6,0,1,1
124,4,163,DEADWOOD,1,56.741,-117.458,29,6,0,1,1
124,4,164,DEER HILL,1,56.247,-118.080,29,6,0,1,1
124,4,165,PEACE RIVER,1,56.364,-119.031,29,6,0,1,1
124,4,196,SMITH DORRIEN,1,50.692,-115.139,64,10,0,1,1
124,4,201,THELMA,1,49.538,-110.275,38,11,0,1,1
124,4,202,ETZIKOM COUL,1,49.348,-111.799,38,11,0,1,1
124,4,203,KIPP COULEE,1,49.384,-112.651,38,11,0,1,1
124,4,204,TWIN BUTTE,1,49.262,-113.657,38,11,0,1,1
124,4,205,COLEMAN,1,49.636,-114.490,64,10,0,1,1
124,4,206,BOWELL,1,50.222,-110.960,38,11,0,1,1
124,4,207,HAYS,1,50.152,-111.984,38,11,0,1,1
124,4,208,ENCHANT,1,50.164,-112.314,38,11,0,1,1
124,4,209,ENSIGN,1,50.485,-113.390,38,11,0,1,1
124,4,210,LONGVIEW,1,50.514,-114.247,37,11,0,1,1
124,4,211,ACADIA VALLY,1,51.358,-110.193,38,11,0,1,1
124,4,212,SPONDIN,1,51.766,-111.517,37,11,0,1,1
124,4,213,CRAWLING VAL,1,51.183,-112.331,37,11,0,1,1
124,4,214,KATHYRN,1,51.415,-113.732,30,11,0,1,1
124,4,215,GHOST LAKE,1,51.210,-114.763,29,10,0,1,1
124,4,218,HAYTER,1,52.289,-110.195,30,11,0,1,1
124,4,219,AMISK,1,52.668,-111.109,30,11,0,1,1
124,4,220,BASHAW,1,52.522,-112.860,30,11,0,1,1
124,4,221,LACOMBE,1,52.551,-113.940,30,11,0,1,1
124,4,222,RIMBEY,1,52.657,-114.194,30,6,0,1,1
124,4,223,BREWSTER CRK,0,52.796,-115.520,29,6,0,1,1
124,4,225,MOUNTAIN PRK,1,52.985,-117.342,29,10,0,1,1
124,4,226,PARADISE VAL,1,53.264,-110.152,30,11,0,1,1
124,4,227,LAKE ELIZA,1,53.776,-111.243,30,6,0,1,1
124,4,228,SKARO,1,53.934,-112.703,30,11,0,1,1
124,4,229,CALMAR,1,53.338,-113.853,30,11,0,1,1
124,4,230,MOON LAKE,1,53.483,-114.788,30,6,0,1,1
124,4,231,NITON,1,53.725,-115.711,29,6,0,1,1
124,4,236,ARDMORE,1,54.356,-110.354,29,6,0,1,1
